Gloss                | Available Videos
rage                 | 4
rather               | 4
real                 | 4
recliner             | 4
recommend            | 4
regular              | 4
reply                | 4
rescue               | 4
retreat              | 4
roar                 | 4
ruin                 | 4
s                    | 4
settle               | 4
sin                  | 4
singer               | 4
skip                 | 4
sofa                 | 4
soldier              | 4
solve                | 4
something            | 4
somewhere            | 4
spill                | 4
spit                 | 4
spread               | 4
squeeze              | 4
stir                 | 4
stitch               | 4
stuck                | 4
sue                  | 4
superman             | 4
surrender            | 4
suspend              | 4
t                    | 4
talent               | 4
than                 | 4
tobacco              | 4
toilet paper         | 4
tolerate             | 4
torture              | 4
turn                 | 4
u                    | 4
v                    | 4
vacant               | 4
vague                | 4
valley               | 4
vice president       | 4
vlog                 | 4
w                    | 4
wheelchair           | 4
garage               | 3
parents              | 3
boots                | 3
excuse               | 3
furniture            | 3
report               | 3
shopping             | 3
wrench               | 3
contract             | 3
haircut              | 3
hippopotamus         | 3
international        | 3
kangaroo             | 3
knock                | 3
preacher             | 3
prefer               | 3
someone              | 3
surgeon              | 3
tower                | 3
value                | 3
waiter               | 3
award                | 3
bank                 | 3
battery              | 3
bookshelf            | 3
bribe                | 3
captain              | 3
chicago              | 3
concentrate          | 3
cooperate            | 3
cuba                 | 3
detective            | 3
devil                | 3
drag                 | 3
dragon               | 3
either               | 3
else                 | 3
familiar             | 3
fingerspell          | 3
fire                 | 3
hang up              | 3
hill                 | 3
league               | 3
license              | 3
little bit           | 3
loan                 | 3
look for             | 3
mention              | 3
military             | 3
mock                 | 3
negotiate            | 3
occur                | 3
olympics             | 3
or                   | 3
pear                 | 3
penny                | 3
preschool            | 3
prince               | 3
princess             | 3
psychologist         | 3
resist               | 3
restroom             | 3
saw                  | 3
scan                 | 3
scream               | 3
seldom               | 3
shout                | 3
shovel               | 3
sting                | 3
tempt                | 3
tend                 | 3
texas                | 3
therefore            | 3
upstairs             | 3
weigh                | 3
whistle              | 3
gloves               | 2
careless             | 2
wash face            | 2
curtain              | 2
grey                 | 2
lamp                 | 2
look at              | 2
meaning              | 2
post                 | 2
propaganda           | 2
ski                  | 2
smoking              | 2
stepfather           | 2
tv                   | 2
